,Equipes,Pts,Matchs joués,Gagnés,Nuls,Perdus,Journée,Season
13,Oyonnax Rugby,25,18,5,1,12,J18,2023-2024
0,Stade Français Paris,59,19,13,1,5,J19,2023-2024
1,Stade Toulousain,56,19,12,0,7,J19,2023-2024
2,Union Bordeaux-Bègles,49,19,11,0,8,J19,2023-2024
3,Racing 92,48,19,10,0,9,J19,2023-2024
4,RC Toulon,46,19,10,0,9,J19,2023-2024
5,Stade Rochelais,46,19,9,0,10,J19,2023-2024
6,Castres Olympique,45,19,9,0,10,J19,2023-2024
7,Section Paloise,45,19,10,0,9,J19,2023-2024
8,Aviron Bayonnais,43,19,9,0,10,J19,2023-2024
9,ASM Clermont,42,19,8,2,9,J19,2023-2024
10,USA Perpignan,39,19,9,0,10,J19,2023-2024
11,LOU Rugby,38,19,8,0,11,J19,2023-2024
12,Montpellier Hérault Rugby,37,19,8,0,11,J19,2023-2024
13,Oyonnax Rugby,26,19,5,1,13,J19,2023-2024
0,Stade Français Paris,63,20,14,1,5,J20,2023-2024
1,Stade Toulousain,60,20,13,0,7,J20,2023-2024
2,Racing 92,52,20,11,0,9,J20,2023-2024
3,RC Toulon,51,20,11,0,9,J20,2023-2024
4,Stade Rochelais,51,20,10,0,10,J20,2023-2024
5,Union Bordeaux-Bègles,49,20,11,0,9,J20,2023-2024
6,Section Paloise,46,20,10,0,10,J20,2023-2024
7,Castres Olympique,45,20,9,0,11,J20,2023-2024
8,USA Perpignan,44,20,10,0,10,J20,2023-2024
9,Aviron Bayonnais,43,20,9,0,11,J20,2023-2024
10,ASM Clermont,42,20,8,2,10,J20,2023-2024
11,LOU Rugby,42,20,9,0,11,J20,2023-2024
12,Montpellier Hérault Rugby,38,20,8,0,12,J20,2023-2024
13,Oyonnax Rugby,26,20,5,1,14,J20,2023-2024
0,Stade Français Paris,67,21,15,1,5,J21,2023-2024
1,Stade Toulousain,61,21,13,0,8,J21,2023-2024
2,Racing 92,57,21,12,0,9,J21,2023-2024
3,RC Toulon,55,21,12,0,9,J21,2023-2024
4,Union Bordeaux-Bègles,54,21,12,0,9,J21,2023-2024
5,Stade Rochelais,52,21,10,0,11,J21,2023-2024
6,Section Paloise,50,21,11,0,10,J21,2023-2024
7,USA Perpignan,49,21,11,0,10,J21,2023-2024
8,Castres Olympique,49,21,10,0,11,J21,2023-2024
9,Aviron Bayonnais,44,21,9,0,12,J21,2023-2024
10,ASM Clermont,42,21,8,2,11,J21,2023-2024
11,LOU Rugby,42,21,9,0,12,J21,2023-2024
12,Montpellier Hérault Rugby,38,21,8,0,13,J21,2023-2024
13,Oyonnax Rugby,26,21,5,1,15,J21,2023-2024
0,Stade Français Paris,67,22,15,1,6,J22,2023-2024
1,Stade Toulousain,65,22,14,0,8,J22,2023-2024
2,Union Bordeaux-Bègles,58,22,13,0,9,J22,2023-2024
3,Racing 92,57,22,12,0,10,J22,2023-2024
4,Stade Rochelais,56,22,11,0,11,J22,2023-2024
5,RC Toulon,55,22,12,0,10,J22,2023-2024
6,USA Perpignan,53,22,12,0,10,J22,2023-2024
7,Castres Olympique,50,22,10,0,12,J22,2023-2024
8,Section Paloise,50,22,11,0,11,J22,2023-2024
9,ASM Clermont,47,22,9,2,11,J22,2023-2024
10,LOU Rugby,47,22,10,0,12,J22,2023-2024
11,Aviron Bayonnais,44,22,9,0,13,J22,2023-2024
12,Montpellier Hérault Rugby,39,22,8,0,14,J22,2023-2024
13,Oyonnax Rugby,30,22,6,1,15,J22,2023-2024
0,Stade Toulousain,70,23,15,0,8,J23,2023-2024
1,Stade Français Paris,67,23,15,1,7,J23,2023-2024
2,Union Bordeaux-Bègles,63,23,14,0,9,J23,2023-2024
3,RC Toulon,59,23,13,0,10,J23,2023-2024
4,Racing 92,57,23,12,0,11,J23,2023-2024
5,Stade Rochelais,56,23,11,0,12,J23,2023-2024
6,Section Paloise,55,23,12,0,11,J23,2023-2024
7,Castres Olympique,54,23,11,0,12,J23,2023-2024
8,USA Perpignan,53,23,12,0,11,J23,2023-2024
9,ASM Clermont,51,23,10,2,11,J23,2023-2024
10,Aviron Bayonnais,48,23,10,0,13,J23,2023-2024
11,LOU Rugby,47,23,10,0,13,J23,2023-2024
12,Montpellier Hérault Rugby,40,23,8,0,15,J23,2023-2024
13,Oyonnax Rugby,30,23,6,1,16,J23,2023-2024
0,Stade Toulousain,74,24,16,0,8,J24,2023-2024
1,Stade Français Paris,71,24,16,1,7,J24,2023-2024
2,Union Bordeaux-Bègles,64,24,14,0,10,J24,2023-2024
3,RC Toulon,63,24,14,0,10,J24,2023-2024
4,Stade Rochelais,60,24,12,0,12,J24,2023-2024
5,Racing 92,57,24,12,0,12,J24,2023-2024
6,Section Paloise,56,24,12,0,12,J24,2023-2024
7,ASM Clermont,56,24,11,2,11,J24,2023-2024
8,USA Perpignan,54,24,12,0,12,J24,2023-2024
9,Castres Olympique,54,24,11,0,13,J24,2023-2024
10,Aviron Bayonnais,52,24,11,0,13,J24,2023-2024
11,LOU Rugby,51,24,11,0,13,J24,2023-2024
12,Montpellier Hérault Rugby,40,24,8,0,16,J24,2023-2024
13,Oyonnax Rugby,30,24,6,1,17,J24,2023-2024
0,Stade Toulousain,76,25,16,1,8,J25,2023-2024
1,Stade Français Paris,71,25,16,1,8,J25,2023-2024
2,RC Toulon,68,25,15,0,10,J25,2023-2024
3,Union Bordeaux-Bègles,64,25,14,0,11,J25,2023-2024
4,Stade Rochelais,62,25,12,1,12,J25,2023-2024
5,Racing 92,61,25,13,0,12,J25,2023-2024
6,USA Perpignan,58,25,13,0,12,J25,2023-2024
7,Castres Olympique,58,25,12,0,13,J25,2023-2024
8,Section Paloise,56,25,12,0,13,J25,2023-2024
9,ASM Clermont,56,25,11,2,12,J25,2023-2024
10,Aviron Bayonnais,52,25,11,0,14,J25,2023-2024
11,LOU Rugby,51,25,11,0,14,J25,2023-2024
12,Montpellier Hérault Rugby,44,25,9,0,16,J25,2023-2024
13,Oyonnax Rugby,34,25,7,1,17,J25,2023-2024
0,Stade Toulousain,76,26,16,1,9,J26,2023-2024
1,Stade Français Paris,75,26,17,1,8,J26,2023-2024
2,Union Bordeaux-Bègles,69,26,15,0,11,J26,2023-2024
3,RC Toulon,69,26,15,0,11,J26,2023-2024
4,Stade Rochelais,66,26,13,1,12,J26,2023-2024
5,Racing 92,62,26,13,0,13,J26,2023-2024
6,Castres Olympique,62,26,13,0,13,J26,2023-2024
7,ASM Clermont,61,26,12,2,12,J26,2023-2024
8,Section Paloise,60,26,13,0,13,J26,2023-2024
9,USA Perpignan,58,26,13,0,13,J26,2023-2024
10,LOU Rugby,55,26,12,0,14,J26,2023-2024
11,Aviron Bayonnais,52,26,11,0,15,J26,2023-2024
12,Montpellier Hérault Rugby,44,26,9,0,17,J26,2023-2024
13,Oyonnax Rugby,34,26,7,1,18,J26,2023-2024
0,ASM Clermont,5,1,1,0,0,J1,2024-2025
1,Stade Toulousain,5,1,1,0,0,J1,2024-2025
2,Union Bordeaux-Bègles,4,1,1,0,0,J1,2024-2025
3,Stade Rochelais,4,1,1,0,0,J1,2024-2025
4,LOU Rugby,4,1,1,0,0,J1,2024-2025
5,Castres Olympique,4,1,1,0,0,J1,2024-2025
6,Aviron Bayonnais,4,1,1,0,0,J1,2024-2025
7,USA Perpignan,1,1,0,0,1,J1,2024-2025
8,Racing 92,1,1,0,0,1,J1,2024-2025
9,Montpellier Hérault Rugby,1,1,0,0,1,J1,2024-2025
10,RC Toulon,1,1,0,0,1,J1,2024-2025
11,Stade Français Paris,0,1,0,0,1,J1,2024-2025
12,RC Vannes,0,1,0,0,1,J1,2024-2025
13,Section Paloise,0,1,0,0,1,J1,2024-2025
0,Stade Toulousain,9,2,2,0,0,J2,2024-2025
1,LOU Rugby,8,2,2,0,0,J2,2024-2025
2,ASM Clermont,5,2,1,0,1,J2,2024-2025
3,Racing 92,5,2,1,0,1,J2,2024-2025
4,Castres Olympique,5,2,1,0,1,J2,2024-2025
5,RC Toulon,5,2,1,0,1,J2,2024-2025
6,Union Bordeaux-Bègles,5,2,1,0,1,J2,2024-2025
7,Montpellier Hérault Rugby,5,2,1,0,1,J2,2024-2025
8,Section Paloise,5,2,1,0,1,J2,2024-2025
9,Stade Rochelais,4,2,1,0,1,J2,2024-2025
10,Stade Français Paris,4,2,1,0,1,J2,2024-2025
11,Aviron Bayonnais,4,2,1,0,1,J2,2024-2025
12,USA Perpignan,1,2,0,0,2,J2,2024-2025
13,RC Vannes,1,2,0,0,2,J2,2024-2025
0,Stade Toulousain,13,3,3,0,0,J3,2024-2025
1,Union Bordeaux-Bègles,10,3,2,0,1,J3,2024-2025
2,ASM Clermont,10,3,2,0,1,J3,2024-2025
3,Castres Olympique,10,3,2,0,1,J3,2024-2025
4,Stade Rochelais,9,3,2,0,1,J3,2024-2025
5,RC Toulon,9,3,2,0,1,J3,2024-2025
6,LOU Rugby,8,3,2,0,1,J3,2024-2025
7,Stade Français Paris,5,3,1,0,2,J3,2024-2025
8,RC Vannes,5,3,1,0,2,J3,2024-2025
9,Montpellier Hérault Rugby,5,3,1,0,2,J3,2024-2025
10,Racing 92,5,3,1,0,2,J3,2024-2025
11,Section Paloise,5,3,1,0,2,J3,2024-2025
12,Aviron Bayonnais,4,3,1,0,2,J3,2024-2025
13,USA Perpignan,1,3,0,0,3,J3,2024-2025
0,Union Bordeaux-Bègles,14,4,3,0,1,J4,2024-2025
1,Stade Toulousain,14,4,3,0,1,J4,2024-2025
2,RC Toulon,14,4,3,0,1,J4,2024-2025
3,Stade Rochelais,13,4,3,0,1,J4,2024-2025
4,LOU Rugby,12,4,3,0,1,J4,2024-2025
5,Castres Olympique,11,4,2,0,2,J4,2024-2025
6,ASM Clermont,10,4,2,0,2,J4,2024-2025
7,Section Paloise,10,4,2,0,2,J4,2024-2025
8,Aviron Bayonnais,8,4,2,0,2,J4,2024-2025
9,Montpellier Hérault Rugby,6,4,1,0,3,J4,2024-2025
10,USA Perpignan,6,4,1,0,3,J4,2024-2025
11,Racing 92,6,4,1,0,3,J4,2024-2025
12,Stade Français Paris,5,4,1,0,3,J4,2024-2025
13,RC Vannes,5,4,1,0,3,J4,2024-2025
0,Union Bordeaux-Bègles,18,5,4,0,1,J5,2024-2025
1,Stade Rochelais,18,5,4,0,1,J5,2024-2025
2,Castres Olympique,15,5,3,0,2,J5,2024-2025
3,RC Toulon,15,5,3,0,2,J5,2024-2025
4,Stade Toulousain,15,5,3,0,2,J5,2024-2025
5,ASM Clermont,14,5,3,0,2,J5,2024-2025
6,LOU Rugby,12,5,3,0,2,J5,2024-2025
7,Section Paloise,11,5,2,0,3,J5,2024-2025
8,USA Perpignan,10,5,2,0,3,J5,2024-2025
9,Racing 92,10,5,2,0,3,J5,2024-2025
10,Stade Français Paris,9,5,2,0,3,J5,2024-2025
11,Aviron Bayonnais,9,5,2,0,3,J5,2024-2025
12,Montpellier Hérault Rugby,6,5,1,0,4,J5,2024-2025
13,RC Vannes,6,5,1,0,4,J5,2024-2025
0,Union Bordeaux-Bègles,23,6,5,0,1,J6,2024-2025
1,Stade Toulousain,20,6,4,0,2,J6,2024-2025
2,Stade Rochelais,18,6,4,0,2,J6,2024-2025
3,LOU Rugby,17,6,4,0,2,J6,2024-2025
4,RC Toulon,15,6,3,0,3,J6,2024-2025
5,Section Paloise,15,6,3,0,3,J6,2024-2025
6,Castres Olympique,15,6,3,0,3,J6,2024-2025
7,ASM Clermont,14,6,3,0,3,J6,2024-2025
8,Racing 92,14,6,3,0,3,J6,2024-2025
9,Aviron Bayonnais,14,6,3,0,3,J6,2024-2025
10,Montpellier Hérault Rugby,10,6,2,0,4,J6,2024-2025
11,USA Perpignan,10,6,2,0,4,J6,2024-2025
12,Stade Français Paris,9,6,2,0,4,J6,2024-2025
13,RC Vannes,7,6,1,0,5,J6,2024-2025
0,Stade Toulousain,24,7,5,0,2,J7,2024-2025
1,Union Bordeaux-Bègles,23,7,5,0,2,J7,2024-2025
2,Stade Rochelais,22,7,5,0,2,J7,2024-2025
3,RC Toulon,19,7,4,0,3,J7,2024-2025
4,ASM Clermont,19,7,4,0,3,J7,2024-2025
5,Castres Olympique,19,7,4,0,3,J7,2024-2025
6,Aviron Bayonnais,18,7,4,0,3,J7,2024-2025
7,LOU Rugby,18,7,4,0,3,J7,2024-2025
8,Section Paloise,15,7,3,0,4,J7,2024-2025
9,Racing 92,14,7,3,0,4,J7,2024-2025
10,USA Perpignan,14,7,3,0,4,J7,2024-2025
11,Montpellier Hérault Rugby,10,7,2,0,5,J7,2024-2025
12,Stade Français Paris,9,7,2,0,5,J7,2024-2025
13,RC Vannes,7,7,1,0,6,J7,2024-2025
0,Stade Toulousain,29,8,6,0,2,J8,2024-2025
1,Union Bordeaux-Bègles,28,8,6,0,2,J8,2024-2025
2,Aviron Bayonnais,22,8,5,0,3,J8,2024-2025
3,Stade Rochelais,22,8,5,0,3,J8,2024-2025
4,RC Toulon,19,8,4,0,4,J8,2024-2025
5,ASM Clermont,19,8,4,0,4,J8,2024-2025
6,Castres Olympique,19,8,4,0,4,J8,2024-2025
7,Racing 92,18,8,4,0,4,J8,2024-2025
8,LOU Rugby,18,8,4,0,4,J8,2024-2025
9,Section Paloise,15,8,3,0,5,J8,2024-2025
10,Montpellier Hérault Rugby,14,8,3,0,5,J8,2024-2025
11,Stade Français Paris,14,8,3,0,5,J8,2024-2025
12,USA Perpignan,14,8,3,0,5,J8,2024-2025
13,RC Vannes,11,8,2,0,6,J8,2024-2025
0,Stade Toulousain,30,9,6,0,3,J9,2024-2025
1,Union Bordeaux-Bègles,29,9,6,0,3,J9,2024-2025
2,Stade Rochelais,27,9,6,0,3,J9,2024-2025
3,Aviron Bayonnais,26,9,6,0,3,J9,2024-2025
4,RC Toulon,23,9,5,0,4,J9,2024-2025
5,ASM Clermont,23,9,5,0,4,J9,2024-2025
6,Castres Olympique,23,9,5,0,4,J9,2024-2025
7,Racing 92,22,9,5,0,4,J9,2024-2025
8,USA Perpignan,19,9,4,0,5,J9,2024-2025
9,LOU Rugby,18,9,4,0,5,J9,2024-2025
10,Montpellier Hérault Rugby,15,9,3,0,6,J9,2024-2025
11,Section Paloise,15,9,3,0,6,J9,2024-2025
12,Stade Français Paris,14,9,3,0,6,J9,2024-2025
13,RC Vannes,11,9,2,0,7,J9,2024-2025
0,Stade Toulousain,35,10,7,0,3,J10,2024-2025
1,Union Bordeaux-Bègles,33,10,7,0,3,J10,2024-2025
2,Stade Rochelais,28,10,6,0,4,J10,2024-2025
3,RC Toulon,28,10,6,0,4,J10,2024-2025
4,Castres Olympique,27,10,6,0,4,J10,2024-2025
5,ASM Clermont,27,10,6,0,4,J10,2024-2025
6,Aviron Bayonnais,26,10,6,0,4,J10,2024-2025
7,Racing 92,22,10,5,0,5,J10,2024-2025
8,Montpellier Hérault Rugby,20,10,4,0,6,J10,2024-2025
9,Stade Français Paris,19,10,4,0,6,J10,2024-2025
10,USA Perpignan,19,10,4,0,6,J10,2024-2025
11,LOU Rugby,18,10,4,0,6,J10,2024-2025
12,Section Paloise,15,10,3,0,7,J10,2024-2025
13,RC Vannes,11,10,2,0,8,J10,2024-2025
0,Stade Toulousain,39,11,8,0,3,J11,2024-2025
1,Union Bordeaux-Bègles,37,11,8,0,3,J11,2024-2025
2,ASM Clermont,32,11,7,0,4,J11,2024-2025
3,RC Toulon,32,11,7,0,4,J11,2024-2025
4,Aviron Bayonnais,30,11,7,0,4,J11,2024-2025
5,Stade Rochelais,28,11,6,0,5,J11,2024-2025
6,Castres Olympique,27,11,6,0,5,J11,2024-2025
7,Racing 92,23,11,5,0,6,J11,2024-2025
8,Montpellier Hérault Rugby,21,11,4,0,7,J11,2024-2025
9,Section Paloise,19,11,4,0,7,J11,2024-2025
10,USA Perpignan,19,11,4,0,7,J11,2024-2025
11,Stade Français Paris,19,11,4,0,7,J11,2024-2025
12,LOU Rugby,18,11,4,0,7,J11,2024-2025
13,RC Vannes,15,11,3,0,8,J11,2024-2025
0,Union Bordeaux-Bègles,41,12,9,0,3,J12,2024-2025
1,Stade Toulousain,41,12,8,1,3,J12,2024-2025
2,RC Toulon,37,12,8,0,4,J12,2024-2025
3,Aviron Bayonnais,34,12,8,0,4,J12,2024-2025
4,ASM Clermont,33,12,7,0,5,J12,2024-2025
5,Stade Rochelais,32,12,7,0,5,J12,2024-2025
6,Castres Olympique,27,12,6,0,6,J12,2024-2025
7,Montpellier Hérault Rugby,25,12,5,0,7,J12,2024-2025
8,Racing 92,24,12,5,0,7,J12,2024-2025
9,Stade Français Paris,23,12,5,0,7,J12,2024-2025
10,LOU Rugby,20,12,4,1,7,J12,2024-2025
11,USA Perpignan,19,12,4,0,8,J12,2024-2025
12,Section Paloise,19,12,4,0,8,J12,2024-2025
13,RC Vannes,15,12,3,0,9,J12,2024-2025
0,Stade Toulousain,46,13,9,1,3,J13,2024-2025
1,Union Bordeaux-Bègles,45,13,10,0,3,J13,2024-2025
2,RC Toulon,38,13,8,0,5,J13,2024-2025
3,Aviron Bayonnais,38,13,9,0,4,J13,2024-2025
4,ASM Clermont,34,13,7,0,6,J13,2024-2025
5,Stade Rochelais,32,13,7,0,6,J13,2024-2025
6,Montpellier Hérault Rugby,29,13,6,0,7,J13,2024-2025
7,Castres Olympique,27,13,6,0,7,J13,2024-2025
8,Racing 92,26,13,5,1,7,J13,2024-2025
9,Section Paloise,24,13,5,0,8,J13,2024-2025
10,Stade Français Paris,23,13,5,0,8,J13,2024-2025
11,USA Perpignan,23,13,5,0,8,J13,2024-2025
12,LOU Rugby,22,13,4,2,7,J13,2024-2025
13,RC Vannes,15,13,3,0,10,J13,2024-2025
0,Union Bordeaux-Bègles,50,14,11,0,3,J14,2024-2025
1,Stade Toulousain,47,14,9,1,4,J14,2024-2025
2,RC Toulon,43,14,9,0,5,J14,2024-2025
3,ASM Clermont,38,14,8,0,6,J14,2024-2025
4,Aviron Bayonnais,38,14,9,0,5,J14,2024-2025
5,Stade Rochelais,36,14,8,0,6,J14,2024-2025
6,Montpellier Hérault Rugby,34,14,7,0,7,J14,2024-2025
7,Castres Olympique,31,14,7,0,7,J14,2024-2025
8,Racing 92,26,14,5,1,8,J14,2024-2025
9,LOU Rugby,26,14,5,2,7,J14,2024-2025
10,Section Paloise,25,14,5,0,9,J14,2024-2025
11,USA Perpignan,24,14,5,0,9,J14,2024-2025
12,Stade Français Paris,23,14,5,0,9,J14,2024-2025
13,RC Vannes,16,14,3,0,11,J14,2024-2025
0,Union Bordeaux-Bègles,51,15,11,0,4,J15,2024-2025
1,Stade Toulousain,51,15,10,1,4,J15,2024-2025
2,RC Toulon,48,15,10,0,5,J15,2024-2025
3,Aviron Bayonnais,39,15,9,0,6,J15,2024-2025
4,ASM Clermont,38,15,8,0,7,J15,2024-2025
5,Stade Rochelais,36,15,8,0,7,J15,2024-2025
6,Castres Olympique,35,15,8,0,7,J15,2024-2025
7,Montpellier Hérault Rugby,34,15,7,0,8,J15,2024-2025
8,LOU Rugby,30,15,6,2,7,J15,2024-2025
9,Section Paloise,29,15,6,0,9,J15,2024-2025
10,USA Perpignan,28,15,6,0,9,J15,2024-2025
11,Racing 92,26,15,5,1,9,J15,2024-2025
12,Stade Français Paris,24,15,5,0,10,J15,2024-2025
13,RC Vannes,20,15,4,0,11,J15,2024-2025
