,RANK,CATEGORY,NAME,SEASON,STATS
86,3,Meilleurs réalisateurs,Melvyn JAMINET,2023-2024,225
87,1,Meilleurs marqueurs d'essais,B.COUILLOUD,2023-2024,17
88,2,Meilleurs marqueurs d'essais,Damian PENAUD,2023-2024,14
89,3,Meilleurs marqueurs d'essais,Tavite VEREDAMU,2023-2024,12
90,1,Meilleurs marqueurs de drops,C.LOPEZ,2023-2024,3
91,2,Meilleurs marqueurs de drops,Joris SEGONDS,2023-2024,3
92,3,Meilleurs marqueurs de drops,Julien DUMORA,2023-2024,2
93,1,Meilleurs taux de transformation,H.REUS,2023-2024,"91,5"
94,2,Meilleurs taux de transformation,Tommaso ALLAN,2023-2024,"89,6"
95,3,Meilleurs taux de transformation,Camille LOPEZ,2023-2024,"88,1"
96,1,Plus de temps de jeu,C.LOPEZ,2023-2024,1 958
97,2,Plus de temps de jeu,Emilien GAILLETON,2023-2024,1 906
98,3,Plus de temps de jeu,Théo ATTISSOGBE,2023-2024,1 861
99,1,Moyene de points par match la plus haute,M.JAMINET,2023-2024,15
100,2,Moyene de points par match la plus haute,Thomas RAMOS,2023-2024,"11,9"
101,3,Moyene de points par match la plus haute,Joe SIMMONDS,2023-2024,"11,2"
102,1,Nombre de cartons,J.MADDOCKS,2023-2024,4
103,2,Nombre de cartons,Hugo FABREGUE,2023-2024,4
104,3,Nombre de cartons,Jérémy Charles WARD,2023-2024,3
105,1,Meilleurs réalisateurs,J.SIMMONDS,2024-2025,161
106,2,Meilleurs réalisateurs,Léo BERDEU,2024-2025,161
107,3,Meilleurs réalisateurs,Maxime LAFAGE,2024-2025,157
108,1,Meilleurs marqueurs d'essais,G.DREAN,2024-2025,11
109,2,Meilleurs marqueurs d'essais,Sireli MAQALA,2024-2025,10
110,3,Meilleurs marqueurs d'essais,Baptiste COUILLOUD,2024-2025,9
111,1,Meilleurs marqueurs de drops,J.SIMMONDS,2024-2025,1
112,2,Meilleurs marqueurs de drops,Maxime LAFAGE,2024-2025,1
113,3,Meilleurs marqueurs de drops,Louis CARBONEL,2024-2025,1
114,1,Meilleurs taux de transformation,J.MALLIA,2024-2025,"90,9"
115,2,Meilleurs taux de transformation,Maxime LUCU,2024-2025,"88,9"
116,3,Meilleurs taux de transformation,Thibault DAUBAGNA,2024-2025,"88,9"
117,1,Plus de temps de jeu,F.GORRISSEN,2024-2025,1 139
118,2,Plus de temps de jeu,Joe SIMMONDS,2024-2025,1 117
119,3,Plus de temps de jeu,Thomas CEYTE,2024-2025,1 099
120,1,Moyene de points par match la plus haute,T.RAMOS,2024-2025,"14,8"
121,2,Moyene de points par match la plus haute,Nolann LE GARREC,2024-2025,"12,1"
122,3,Moyene de points par match la plus haute,Léo BERDEU,2024-2025,"11,5"
123,1,Nombre de cartons,C.WOKI,2024-2025,3
124,2,Nombre de cartons,Apisai NAQALEVU,2024-2025,3
125,3,Nombre de cartons,Levan CHILACHAVA,2024-2025,3
