,Saison,Equipe,historique,Points marqués,Essais marqués,Penalités marqués,Points encaissées,Essai encaissées,Pénalités encaisse,Matchs gagnés,Pourcentage victoire,Carton jaune,Carton rouge,ID_equipes
0,2022-2023,ASM Clermont,"['D', 'D', 'V', 'D', 'V']",588,68,50,67,67,61,11,42,14,2,4
0,2022-2023,Montpellier Hérault Rugby,"['D', 'D', 'D', 'V', 'D']",624,68,58,62,62,63,11,42,16,1,8
0,2022-2023,Section Paloise,"['V', 'D', 'V', 'D', 'V']",591,64,55,72,72,49,10,38,16,1,3
0,2022-2023,USA Perpignan,"['V', 'D', 'V', 'D', 'V']",503,54,48,87,87,52,10,38,24,5,16
0,2022-2023,CA Brive,"['D', 'V', 'V', 'D', 'D']",440,41,51,85,85,53,7,27,17,4,12
0,2023-2024,Stade Toulousain,"['V', 'N', 'D', 'V', 'V']",765,103,31,592,72,36,16,62,18,0,9
0,2023-2024,Stade Français Paris,"['D', 'V', 'D', 'V', 'D']",539,57,53,511,49,63,17,65,24,1,14
0,2023-2024,Union Bordeaux-Bègles,"['D', 'V', 'V', 'V', 'D']",677,80,54,558,66,41,15,58,15,0,6
0,2023-2024,RC Toulon,"['V', 'V', 'V', 'D', 'D']",704,72,74,519,58,45,15,58,14,2,2
0,2023-2024,Stade Rochelais,"['V', 'N', 'V', 'V', 'D']",595,69,44,496,49,58,13,50,16,5,11
0,2023-2024,Racing 92,"['D', 'D', 'V', 'D', 'D']",622,79,37,546,56,62,13,50,18,2,10
0,2023-2024,Castres Olympique,"['D', 'V', 'D', 'V', 'V']",643,69,62,642,77,46,13,50,22,3,7
0,2023-2024,ASM Clermont,"['V', 'V', 'V', 'D', 'V']",621,74,45,671,78,51,12,46,11,1,4
0,2023-2024,Section Paloise,"['D', 'V', 'D', 'D', 'V']",630,68,60,609,72,48,13,50,18,0,3
0,2023-2024,USA Perpignan,"['V', 'D', 'D', 'V', 'D']",634,80,38,701,85,46,13,50,23,0,16
0,2023-2024,LOU Rugby,"['V', 'D', 'V', 'D', 'V']",630,72,50,754,90,54,12,46,19,1,1
0,2023-2024,Aviron Bayonnais,"['D', 'V', 'V', 'D', 'D']",572,65,44,669,77,51,11,42,16,0,5
0,2023-2024,Montpellier Hérault Rugby,"['D', 'D', 'V', 'D', 'V']",542,61,46,655,79,45,9,35,17,1,8
0,2023-2024,Oyonnax Rugby,"['V', 'D', 'D', 'V', 'D']",539,58,52,790,99,44,7,27,28,0,17
0,2024-2025,Stade Toulousain,"['N', 'V', 'D', 'V', 'V']",466,56,31,268,30,26,11,69,7,0,9
0,2024-2025,Union Bordeaux-Bègles,"['V', 'V', 'V', 'D', 'D']",482,61,31,341,39,28,11,69,11,2,6
0,2024-2025,RC Toulon,"['V', 'D', 'V', 'V', 'V']",446,53,31,359,38,35,11,69,12,1,2
0,2024-2025,Aviron Bayonnais,"['V', 'V', 'D', 'D', 'V']",402,44,37,396,49,29,10,63,16,1,5
0,2024-2025,ASM Clermont,"['D', 'D', 'V', 'D', 'D']",383,49,22,393,41,40,8,50,18,0,4
0,2024-2025,Castres Olympique,"['D', 'D', 'V', 'V', 'N']",395,45,35,422,43,45,8,50,17,1,7
0,2024-2025,Stade Rochelais,"['V', 'D', 'V', 'D', 'D']",365,44,29,410,46,37,8,50,12,1,11
0,2024-2025,LOU Rugby,"['N', 'N', 'V', 'V', 'V']",416,46,38,411,44,41,7,44,21,0,1
0,2024-2025,Montpellier Hérault Rugby,"['V', 'V', 'V', 'D', 'D']",359,35,41,316,32,35,7,44,14,0,8
0,2024-2025,USA Perpignan,"['D', 'V', 'D', 'V', 'N']",276,23,43,370,40,32,6,38,8,2,16
0,2024-2025,Section Paloise,"['D', 'V', 'D', 'V', 'D']",380,42,33,446,57,25,6,38,19,0,3
0,2024-2025,Stade Français Paris,"['V', 'D', 'D', 'D', 'V']",371,41,33,458,55,30,6,38,13,2,14
0,2024-2025,Racing 92,"['D', 'N', 'D', 'D', 'D']",390,44,33,428,49,36,5,31,22,2,10
0,2024-2025,RC Vannes,"['D', 'D', 'D', 'V', 'V']",405,45,33,518,65,31,5,31,10,1,18
